#{"t_start": 1744471136.776834, "env_id": "LunarLander-v2"}
r,l,t
-32.39408,200,121.257645
-48.930684,145,121.596689
-340.8132,239,122.206913
-182.514329,143,125.285517
-11.958347,188,125.779013
-51.981909,153,126.113809
-164.771954,135,126.406863
-95.972061,203,126.981972
-43.841637,152,127.468595
-208.074818,195,128.159472
-109.608633,142,128.65283
-79.28859,162,129.068177
-27.718896,192,129.663924
-118.328107,112,130.038305
-84.591443,154,130.481378
14.195356,153,130.91285
23.605811,1000,136.971824
-69.524684,139,137.342837
-142.05927,140,137.725106
-274.945774,253,138.478059
-76.166913,210,139.080408
-49.947691,266,139.922934
-303.029599,121,143.203545
-33.974867,252,143.959667
-318.614811,163,144.409586
-170.647104,129,144.749477
-100.06757,211,145.265225
-257.380423,233,145.855395
-2.781245,169,146.319705
-97.538987,106,146.608417
-218.368769,163,147.078023
-176.066676,397,148.20825
-276.804954,189,151.450008
19.361748,208,152.124968
-207.874182,144,152.584269
-228.176885,745,154.663013
34.531639,171,155.112002
-341.689986,249,155.708486
-126.444406,124,156.004916
-101.314537,196,156.516842
-89.602198,214,159.912947
38.44797,1000,162.724056
-46.446317,171,163.281431
-174.241092,226,163.905485
-100.870581,253,164.648433
18.329792,213,165.272243
-66.82444,228,168.737472
-250.141268,212,169.327644
-45.976002,195,169.852177
-21.442847,233,170.492596
-43.211953,210,171.119497
-109.762206,214,171.675103
41.843192,1000,177.486443
-172.678082,187,178.023652
-27.560602,183,178.451671
-74.670998,150,178.897279
-6.080764,244,179.513768
-32.547629,183,179.995079
-31.850049,109,180.341546
-95.742293,283,181.143659
-89.127775,215,181.735298
-5.759072,265,182.468298
-66.449925,197,185.80829
-0.470858,193,186.283628
-177.256969,185,186.825593
-38.866062,266,187.534896
-149.75811,238,188.211346
-74.088431,188,188.700433
-193.81752,166,189.250841
-81.45994,142,189.600256
-173.567568,248,190.278233
-47.775284,192,190.761856
-5.949151,247,194.304327
-34.558064,298,195.164
-106.748259,213,195.67699
-67.863327,177,196.198081
-54.302888,264,196.968263
26.422212,1000,200.123389
-31.606389,208,203.529497
-154.745172,184,204.122485
-40.2066,147,204.577667
38.317051,1000,207.598511
65.360662,1000,213.407926
-84.930351,245,214.049625
-18.589445,299,214.825931
-29.379046,157,215.406169
-238.939263,304,216.289849
-62.658267,241,216.98713
-29.909448,334,217.806459
-13.182263,1000,223.479163
-69.043847,229,224.178682
-25.807219,246,224.954403
-84.621281,320,225.741799
-65.554474,204,226.358432
-175.379829,303,229.976444
2.14051,186,230.465285
45.541995,1000,233.794281
43.072345,1000,239.528949
-212.676411,480,241.001702
-112.178429,252,241.722785
-46.046656,234,242.54364
-228.185284,187,243.057818
-34.040792,1000,248.879878
-89.706506,276,249.581978
-143.045374,567,251.136008
-156.199594,389,252.198955
-101.880626,307,253.178202
-215.267996,180,256.559368
34.618179,1000,259.445914
-25.245103,334,260.555961
-182.373516,259,261.406983
-136.400255,287,262.425898
18.331897,1000,268.173977
-88.430577,356,269.400522
-177.845848,215,269.93984
-171.39803,314,270.824028
-64.0561,265,274.321867
101.996019,1000,276.894329
-0.252495,266,277.614263
-65.127953,235,278.306249
-40.208545,278,279.065043
-19.538609,349,283.396422
-19.867679,314,284.262507
1.887489,244,285.062214
99.406561,1000,287.87255
-62.715674,219,288.504734
-196.683711,233,291.897539
11.716616,279,292.717948
87.861701,1000,295.53955
-89.398351,360,296.58586
