#{"t_start": 1744444225.8218145, "env_id": "LunarLander-v2"}
r,l,t
-248.961631,124,0.353513
-82.588115,61,0.49081
-66.094643,75,0.657413
-134.884966,97,0.885052
-158.606958,130,1.158931
-368.112021,89,1.353007
-156.637253,66,1.509655
-79.989068,68,1.680508
-345.824298,140,2.062387
-182.990682,83,2.257168
64.222713,118,2.474587
-315.292842,93,2.645016
-213.563774,101,2.833225
-126.000092,96,3.110689
-128.578179,82,3.26058
-110.098009,92,3.407976
-230.610886,63,3.499273
-125.481034,85,3.637551
-278.449703,99,3.816997
-463.192513,93,3.983948
-328.740322,115,4.185024
-385.511679,89,6.263623
-90.49089,64,6.361171
-86.131121,77,6.471571
-89.244022,71,6.601784
-424.52305,90,6.769086
-131.251581,80,6.900608
-126.144312,118,7.161181
-156.770918,117,7.43194
-148.667375,125,7.651659
-141.741091,95,7.81063
-72.492194,67,7.937352
-204.342979,103,8.110534
-95.328247,61,8.209941
-103.229374,103,8.386227
-132.826122,90,8.554999
-337.289833,81,8.70326
-131.002502,81,8.853233
-357.297204,93,9.023088
-175.473835,115,9.287384
-199.603425,103,9.524243
-142.40261,97,9.674813
-195.253778,94,9.855503
-97.780919,106,10.095692
-331.12816,110,12.33709
-346.353978,99,12.602804
-94.021937,69,12.745702
-51.096912,80,12.888358
-372.452116,112,13.127978
-115.008256,78,13.308435
-114.352159,87,13.456513
-56.981564,131,13.702609
-116.069189,98,13.871486
-122.292226,120,14.096928
-106.034813,123,14.312768
-188.700674,78,14.446683
-195.02221,116,14.655328
-172.739044,65,14.772517
-121.76807,114,15.026631
-78.811719,73,15.166928
-165.126013,125,15.368934
-140.701923,136,15.616548
-75.085965,78,15.806703
-96.95621,114,16.032016
-68.534457,69,18.183139
-146.058471,81,18.313351
-211.372792,132,18.505632
-117.22583,79,18.642208
-63.224277,60,18.753724
-146.654266,74,18.881106
-100.430658,66,18.98545
-99.427314,56,19.082154
-101.995991,65,19.184331
-108.231963,69,19.304121
-129.98014,105,19.485069
-33.858911,87,19.632849
11.424345,106,19.794589
-169.293322,100,19.969412
-53.645061,142,20.245423
-88.38494,65,20.376392
-99.124809,111,20.5492
-153.955462,76,20.69012
-74.058906,74,20.818728
-87.61927,78,20.96212
-33.14157,66,21.080218
-120.090314,70,21.230944
-109.501581,87,21.555013
-165.819102,87,21.824762
-188.429243,111,24.691784
-77.523988,71,25.088052
-494.747019,102,25.363053
-158.754752,85,25.53975
-70.741455,74,25.653897
-164.972295,126,25.845413
-117.977243,186,26.238564
-120.91834,91,26.400841
-83.011029,63,26.524767
-104.74422,89,26.710725
-64.672585,120,26.944952
-98.735826,110,27.187516
-251.509039,90,27.397023
-66.56675,91,27.732648
-126.975194,117,28.142771
-102.639291,102,28.378423
-106.95888,88,28.564832
-167.815564,93,28.761494
-119.064112,119,29.193426
-100.13022,65,29.403379
-61.363204,67,29.635763
-169.830227,101,32.003772
-185.440884,99,32.199271
-275.264921,122,32.475401
-153.484176,98,32.793529
-67.967775,86,33.090426
-93.689365,74,33.269393
-197.421858,134,33.496385
-61.630875,79,33.636392
-122.949814,110,33.861364
-84.155027,127,34.292406
-156.942478,82,34.509675
-112.396725,82,34.655566
-78.50154,71,34.755561
-153.43183,122,34.924756
-100.473896,73,35.05356
-354.485322,112,35.261097
-266.764221,91,35.413166
-148.304447,79,35.525875
-145.15957,85,35.679906
-105.004939,116,35.883261
15.86461,63,35.967292
-107.68386,76,36.092451
-139.987935,64,37.980804
-64.036097,74,38.169455
-308.734526,101,38.394591
-353.623212,96,38.596541
-59.843555,65,38.759309
-121.799025,89,38.956625
-117.214541,79,39.224977
-127.34119,141,39.685836
-77.340972,72,39.875097
-163.104015,84,40.076389
-71.340204,78,40.288018
-119.553297,60,40.43551
-125.101787,79,40.625436
-72.100904,99,41.031478
-291.399412,136,41.647548
-86.384541,73,41.905016
-125.396871,88,42.146292
-207.617621,76,42.396177
-99.565957,119,42.737994
-170.01512,109,42.969677
-137.777296,89,43.149946
-31.854403,127,43.458282
-139.676643,109,46.351874
-121.966127,100,46.585221
-154.956434,78,46.767668
-94.575318,84,47.003366
-163.819347,109,47.296311
-80.964368,75,47.452103
82.14598,1000,49.690208
-60.069208,72,49.824171
-199.906233,123,50.056527
-143.634401,105,50.258389
-186.124948,113,50.48332
-139.406261,114,50.752408
-245.487283,130,54.213013
-133.256812,95,54.498201
-144.550316,114,54.961173
-135.609264,85,55.406819
-90.577288,70,55.706593
-168.894284,128,56.146546
-157.072936,86,56.55608
-153.830629,103,57.035871
-120.27268,71,57.416546
-125.648216,70,57.682497
-220.784074,95,58.027361
-74.473012,72,58.288419
-81.505756,64,58.532126
-61.55547,79,58.804478
-338.919905,92,59.069881
-114.234765,76,59.260636
-206.187083,111,59.535639
-118.890354,102,59.764869
-422.230564,86,60.00504
-86.07926,67,60.266804
-184.916512,126,60.705636
-111.563036,89,61.047037
-67.375746,82,61.314687
-69.423256,83,64.70807
-189.36457,115,65.100654
-149.79426,89,65.367185
-97.74495,94,65.590511
-253.234536,140,65.960414
-136.659008,95,66.169071
-153.889631,113,66.453483
-149.704598,142,66.845225
-136.343717,114,67.117682
-112.030426,100,67.353212
-100.962636,94,67.583433
-194.938779,111,67.875365
-98.605622,102,68.176176
-82.001813,78,68.385564
-190.607708,97,68.641862
-99.013022,60,68.786237
-96.828668,88,69.005728
-75.830004,87,69.231584
-37.411161,94,69.467996
-82.537096,64,69.654853
-148.601214,125,72.665448
-203.444343,152,73.028868
-195.408416,134,73.346204
-85.316226,134,73.679505
-67.649767,124,74.021993
-34.718778,130,74.363517
-113.320116,70,74.532516
-79.296207,89,74.781379
-165.874251,137,75.158379
-83.962053,73,75.362489
-91.10094,65,75.550395
-137.339095,86,75.79541
-89.265028,67,75.975345
-108.386461,109,76.287127
-116.817655,70,76.478535
-130.627825,119,76.798962
-139.562366,99,77.089043
-264.037083,135,77.531366
-304.611549,130,77.915395
-169.12534,119,80.862389
-67.512054,65,81.018884
-89.098967,82,81.258784
-108.438022,96,81.637461
-118.927269,93,81.984326
-39.281754,69,82.19095
-98.251475,115,82.524726
-99.680522,69,82.708117
-34.257836,71,83.022188
-331.730842,98,83.310426
-185.815632,107,83.643288
-341.930855,117,83.971223
-108.013731,108,84.21871
-121.789165,94,84.448634
-96.418719,79,84.680494
-254.341019,114,84.987486
-60.824387,65,85.155312
-72.253098,88,85.369375
-94.575023,65,85.529056
-75.451365,75,85.694275
-69.879239,75,85.87068
-123.720167,82,86.085197
-214.98422,115,86.376375
-117.154995,94,89.176172
-126.183983,104,89.433297
-103.052872,97,89.658211
-110.127353,107,89.898169
-130.665521,116,90.176345
-93.358333,88,90.396755
-172.847072,110,90.655986
-122.926105,70,90.828166
-116.335446,93,91.049276
-127.151583,93,91.267023
-101.518924,111,91.518459
-88.915421,77,91.699935
-63.877403,61,91.849483
-100.900055,63,92.005332
-118.311785,117,92.278552
-109.506886,110,92.55569
-75.684095,72,92.723441
-71.931333,68,92.883663
-95.089127,92,93.095353
-65.458905,95,93.307938
-303.264398,107,93.563097
-269.695513,123,93.894181
-128.356966,76,96.702952
-48.578115,71,96.871037
-64.334783,83,97.07057
-143.773366,114,97.333132
-60.842226,112,97.628411
-90.556711,90,97.849427
-104.747448,76,98.018583
-117.244787,92,98.235754
-114.016518,82,98.424654
-35.408805,74,98.606282
-158.623341,116,98.898016
-138.218321,75,99.084074
-135.11844,124,99.415995
-103.970633,96,99.652301
-113.661794,110,99.93443
-56.97821,71,100.117289
-172.799316,108,100.39157
-46.973049,64,100.601949
-88.83282,66,100.785947
-94.062236,77,101.017195
-103.723606,82,101.304363
-127.56275,90,101.547342
-56.270789,115,101.81638
-107.059604,94,105.343108
-76.077841,77,105.500213
-161.010823,107,105.763199
-82.201493,119,106.121691
-100.303584,102,106.380604
-133.703528,104,106.586278
-80.880993,80,106.810507
-137.961234,90,107.081717
-107.741015,73,107.267958
-129.276908,134,107.526014
-111.196865,65,107.662371
-137.52096,120,107.977077
-71.653699,76,108.231227
-68.582367,72,108.441609
-85.919676,121,108.794626
-249.276241,131,109.031296
-130.326884,110,109.250198
-32.048397,98,109.448759
-90.5556,123,109.887172
-97.120322,67,110.14866
-159.626633,97,110.465514
-78.842457,70,113.78753
-260.817109,114,114.076487
-92.443509,99,114.310816
-93.895331,112,114.614093
-109.414685,121,115.027141
-44.995878,87,115.287738
-128.088089,127,115.601902
-65.781234,75,115.826327
-94.071723,129,116.305851
-137.78251,115,116.606315
-87.795479,82,116.798326
-137.111523,85,116.983163
