#{"t_start": 1744475367.6523442, "env_id": "LunarLander-v2"}
r,l,t
-660.0,66,66.234426
-650.0,65,66.367676
-740.0,74,68.636301
-880.0,88,68.815453
-540.0,54,68.914142
-800.0,80,69.067023
-550.0,55,69.173201
-640.0,64,69.299759
-640.0,64,69.432522
-610.0,61,69.554099
-1110.0,111,69.793572
-850.0,85,69.985619
-700.0,70,70.116964
-950.0,95,70.310273
-830.0,83,70.476289
-530.0,53,70.585186
-860.0,86,70.753823
-680.0,68,70.895827
-640.0,64,71.011381
-630.0,63,71.129913
-610.0,61,71.252345
-530.0,53,71.352609
-760.0,76,71.498766
-860.0,86,71.668161
-960.0,96,71.850749
-660.0,66,71.9956
-740.0,74,72.155344
-890.0,89,72.327821
-630.0,63,72.445485
-800.0,80,72.602718
-580.0,58,74.997604
-720.0,72,75.157648
-790.0,79,75.334626
-740.0,74,75.489569
-910.0,91,75.676824
-530.0,53,75.77914
-640.0,64,75.889621
-570.0,57,75.996717
-910.0,91,76.170407
-670.0,67,76.28246
-720.0,72,76.415664
-890.0,89,76.569741
-670.0,67,76.703903
-530.0,53,76.810013
-520.0,52,76.910741
-850.0,85,77.080612
-830.0,83,77.230761
-1060.0,106,77.422902
-920.0,92,77.600302
-900.0,90,77.790486
-890.0,89,77.963327
-1070.0,107,78.145929
-770.0,77,78.298615
-720.0,72,78.459791
-1140.0,114,78.685419
-650.0,65,78.814546
-800.0,80,81.007015
-620.0,62,81.127553
-1050.0,105,81.312138
-650.0,65,81.441071
-720.0,72,81.583959
-990.0,99,81.779358
-890.0,89,81.962388
-800.0,80,82.119544
-550.0,55,82.222867
-680.0,68,82.377198
-910.0,91,82.662018
-550.0,55,82.816312
-540.0,54,82.951012
-990.0,99,83.192214
-670.0,67,83.345626
-690.0,69,83.479677
-940.0,94,83.632561
-570.0,57,83.74173
-1180.0,118,83.983216
-750.0,75,84.123677
-820.0,82,84.293936
-760.0,76,84.435153
-800.0,80,84.583789
-950.0,95,84.767874
-880.0,88,84.933544
-730.0,73,85.076556
-720.0,72,87.258102
-720.0,72,87.396477
-660.0,66,87.531303
-520.0,52,87.632265
-630.0,63,87.761873
-960.0,96,87.951359
-990.0,99,88.169836
-630.0,63,88.295819
-920.0,92,88.478703
-680.0,68,88.612545
-980.0,98,88.813241
-530.0,53,88.910379
-760.0,76,89.06407
-550.0,55,89.179811
-740.0,74,89.32008
-720.0,72,89.469202
-1060.0,106,89.725233
-950.0,95,89.911834
-820.0,82,90.069206
-830.0,83,90.213226
-790.0,79,90.375813
-900.0,90,90.629406
-620.0,62,90.797755
-680.0,68,90.956132
-930.0,93,91.189154
-660.0,66,91.332052
-890.0,89,91.508667
-1010.0,101,93.610969
-590.0,59,93.74705
-630.0,63,93.879337
-910.0,91,94.063181
-530.0,53,94.163581
-580.0,58,94.272269
-840.0,84,94.443027
-640.0,64,94.573488
-770.0,77,94.709116
-700.0,70,94.852271
-610.0,61,94.972608
-560.0,56,95.099019
-940.0,94,95.285756
-510.0,51,95.394037
-760.0,76,95.627561
-870.0,87,95.812016
-760.0,76,95.959569
-590.0,59,96.075086
-990.0,99,96.276734
-590.0,59,96.380518
-720.0,72,96.521841
-640.0,64,96.668234
-930.0,93,96.870067
-710.0,71,97.006888
-520.0,52,97.106637
-750.0,75,97.256709
-990.0,99,97.471056
-830.0,83,97.633031
-590.0,59,99.93607
-590.0,59,100.057215
-870.0,87,100.202208
-570.0,57,100.302796
-630.0,63,100.422428
-600.0,60,100.53379
-550.0,55,100.636386
-570.0,57,100.758102
-580.0,58,100.877079
-750.0,75,101.02071
-490.0,49,101.102694
-900.0,90,101.279475
-810.0,81,101.438166
-750.0,75,101.564175
-780.0,78,101.728408
-870.0,87,101.893951
-680.0,68,102.016611
-840.0,84,102.188336
-530.0,53,102.296971
-650.0,65,102.424999
-700.0,70,102.570659
-900.0,90,102.741199
-550.0,55,102.838627
-760.0,76,102.989797
-780.0,78,103.142525
-620.0,62,103.273635
-680.0,68,103.41147
-680.0,68,103.570143
-1150.0,115,103.79812
-860.0,86,106.048932
-970.0,97,106.261881
-610.0,61,106.390735
-780.0,78,106.624325
-590.0,59,106.772507
-560.0,56,106.910922
-780.0,78,107.083464
-730.0,73,107.246282
-800.0,80,107.42841
-650.0,65,107.545208
-770.0,77,107.695138
-700.0,70,107.844212
-590.0,59,107.957083
-590.0,59,108.065538
-920.0,92,108.232256
-900.0,90,108.38021
-650.0,65,108.496328
-1310.0,131,108.740823
-750.0,75,108.890023
-920.0,92,109.062358
-560.0,56,109.173417
-830.0,83,109.342916
-800.0,80,109.514426
-800.0,80,109.664368
-670.0,67,109.800505
-500.0,50,109.883357
-620.0,62,110.006445
-780.0,78,112.255403
-960.0,96,112.440389
-540.0,54,112.544965
-830.0,83,112.690451
-660.0,66,112.823906
-850.0,85,112.996071
-1140.0,114,113.219873
-920.0,92,113.408086
-580.0,58,113.542391
-750.0,75,113.691005
-590.0,59,113.816385
-870.0,87,113.994272
-650.0,65,114.136277
-720.0,72,114.285038
-950.0,95,114.560286
-770.0,77,114.785071
-740.0,74,114.978469
-550.0,55,115.095044
-600.0,60,115.239362
-780.0,78,115.433678
-720.0,72,115.562235
-560.0,56,115.656378
-590.0,59,115.777479
-760.0,76,115.927061
-670.0,67,116.053259
-560.0,56,116.167525
-800.0,80,116.33831
-940.0,94,116.540773
-780.0,78,118.696115
-760.0,76,118.86078
-890.0,89,119.038583
-720.0,72,119.19637
-570.0,57,119.30616
-920.0,92,119.501861
-640.0,64,119.630586
-610.0,61,119.757681
-620.0,62,119.869939
-620.0,62,120.006923
-560.0,56,120.129729
-740.0,74,120.281526
-820.0,82,120.463288
-770.0,77,120.61044
-800.0,80,120.780291
-670.0,67,120.929911
-630.0,63,121.068557
-830.0,83,121.245102
-550.0,55,121.368546
-750.0,75,121.510257
-650.0,65,121.652299
-750.0,75,121.813661
-640.0,64,121.963557
-830.0,83,122.147675
-620.0,62,122.274939
-820.0,82,122.4779
-670.0,67,122.690542
-720.0,72,122.863787
-550.0,55,122.990633
-580.0,58,125.113564
-670.0,67,125.248871
-620.0,62,125.37163
-600.0,60,125.484297
-970.0,97,125.666456
-930.0,93,125.843725
-630.0,63,125.96511
-590.0,59,126.10398
-890.0,89,126.292872
-690.0,69,126.416872
-810.0,81,126.570029
-670.0,67,126.700869
-530.0,53,126.801618
-560.0,56,126.90811
-680.0,68,127.050346
-550.0,55,127.152015
-1070.0,107,127.366344
-920.0,92,127.569398
-620.0,62,127.719923
-660.0,66,127.848944
-550.0,55,127.952866
-850.0,85,128.120906
-750.0,75,128.274898
-790.0,79,128.42328
-750.0,75,128.57378
-520.0,52,128.68102
-790.0,79,128.843436
-640.0,64,128.974046
-690.0,69,129.115956
-870.0,87,131.496814
-530.0,53,131.593772
-870.0,87,131.760207
-540.0,54,131.867199
-610.0,61,131.96591
-780.0,78,132.102274
-810.0,81,132.247056
-830.0,83,132.399542
-540.0,54,132.50565
-830.0,83,132.652772
-820.0,82,132.790384
-580.0,58,132.894985
-750.0,75,133.041165
-670.0,67,133.182005
-810.0,81,133.338212
-780.0,78,133.46556
-960.0,96,133.647939
-710.0,71,133.773142
-560.0,56,133.88746
-690.0,69,134.006364
-700.0,70,134.147396
-640.0,64,134.276669
-570.0,57,134.396626
-860.0,86,134.563625
-780.0,78,134.712068
-670.0,67,134.840079
-570.0,57,134.936815
-910.0,91,135.091192
-620.0,62,137.185515
-820.0,82,137.360839
-590.0,59,137.476613
-590.0,59,137.587252
-660.0,66,137.728004
-700.0,70,137.863916
-590.0,59,137.967497
-550.0,55,138.072488
-770.0,77,138.213379
-640.0,64,138.331871
-540.0,54,138.448324
-910.0,91,138.715503
-730.0,73,138.9011
-550.0,55,139.01844
-780.0,78,139.188102
-990.0,99,139.401091
-660.0,66,139.515187
-910.0,91,139.688148
-900.0,90,139.845775
-810.0,81,140.001907
-800.0,80,140.155339
-760.0,76,140.312689
-740.0,74,140.447782
-690.0,69,140.56903
-990.0,99,140.739093
-540.0,54,140.827639
-470.0,47,140.904962
-600.0,60,141.028115
-810.0,81,141.17278
-740.0,74,143.327875
-810.0,81,143.480051
-960.0,96,143.68398
-560.0,56,143.811216
-970.0,97,144.001248
-540.0,54,144.114968
-920.0,92,144.304767
-750.0,75,144.456132
-880.0,88,144.637817
-600.0,60,144.752084
-730.0,73,144.893469
-820.0,82,145.061736
-740.0,74,145.206997
-720.0,72,145.347075
-600.0,60,145.477504
-650.0,65,145.608814
-910.0,91,145.810333
-750.0,75,145.963306
-590.0,59,146.088795
-940.0,94,146.305777
-690.0,69,146.483572
-710.0,71,146.737244
-530.0,53,146.885016
-590.0,59,147.032192
-800.0,80,147.235052
-650.0,65,147.377622
-800.0,80,147.542295
-830.0,83,149.750259
-780.0,78,149.915801
-960.0,96,150.107786
-760.0,76,150.240975
-600.0,60,150.355855
-880.0,88,150.54073
-870.0,87,150.720212
-740.0,74,150.871287
-780.0,78,151.020402
-520.0,52,151.126386
-600.0,60,151.241295
-590.0,59,151.349085
-540.0,54,151.455469
-1050.0,105,151.668389
-540.0,54,151.76793
-570.0,57,151.876778
-870.0,87,152.03308
-840.0,84,152.200428
-760.0,76,152.353249
-510.0,51,152.451184
-820.0,82,152.610597
-890.0,89,152.800074
-770.0,77,152.957645
-550.0,55,153.05565
-800.0,80,153.237696
-910.0,91,153.424956
-550.0,55,153.526945
-610.0,61,153.663829
-510.0,51,153.768153
-580.0,58,156.063024
-830.0,83,156.188545
-600.0,60,156.300137
-710.0,71,156.424884
-680.0,68,156.548723
-740.0,74,156.699931
-560.0,56,156.807367
-500.0,50,156.909866
-620.0,62,157.025008
-890.0,89,157.196736
-860.0,86,157.359874
-580.0,58,157.478665
-550.0,55,157.578862
-580.0,58,157.690374
-770.0,77,157.859805
-930.0,93,158.052835
-620.0,62,158.175096
-650.0,65,158.315797
-660.0,66,158.449799
-790.0,79,158.605881
-730.0,73,158.757002
-660.0,66,158.885614
-840.0,84,159.073287
-770.0,77,159.238281
-650.0,65,159.350088
-550.0,55,159.450564
-820.0,82,159.62188
-530.0,53,159.725575
-830.0,83,159.892525
-500.0,50,159.999849
-540.0,54,162.167137
-700.0,70,162.296236
-610.0,61,162.412446
-570.0,57,162.602746
-910.0,91,162.8554
-850.0,85,163.039553
-710.0,71,163.216639
-790.0,79,163.41328
-640.0,64,163.536811
-760.0,76,163.686037
-710.0,71,163.829258
-610.0,61,163.940902
-770.0,77,164.092241
-740.0,74,164.219251
-730.0,73,164.360842
-620.0,62,164.463191
-780.0,78,164.609505
-660.0,66,164.73028
-880.0,88,164.886505
-1090.0,109,165.113251
-580.0,58,165.245841
-690.0,69,165.393028
-490.0,49,165.482417
-710.0,71,165.630748
-820.0,82,165.807305
-840.0,84,165.962138
-790.0,79,166.113204
-710.0,71,166.238773
-790.0,79,168.45485
-650.0,65,168.5774
-750.0,75,168.718944
-720.0,72,168.880989
-530.0,53,168.994659
-690.0,69,169.128709
-820.0,82,169.303837
-550.0,55,169.410806
-880.0,88,169.580834
-540.0,54,169.690659
-590.0,59,169.815662
-610.0,61,169.942296
-620.0,62,170.070301
-970.0,97,170.272082
-720.0,72,170.427017
-710.0,71,170.654622
-610.0,61,170.824647
-500.0,50,170.957168
-930.0,93,171.179247
-550.0,55,171.323187
-680.0,68,171.459296
-750.0,75,171.602364
-930.0,93,171.760422
-600.0,60,171.869544
-950.0,95,172.049188
-960.0,96,172.235839
-560.0,56,172.349617
-710.0,71,172.501281
-720.0,72,172.633683
-690.0,69,174.750775
-810.0,81,174.931103
-530.0,53,175.05101
-950.0,95,175.236393
-760.0,76,175.450647
-710.0,71,175.590262
-860.0,86,175.775671
-760.0,76,175.927651
-560.0,56,176.021899
-970.0,97,176.231809
-640.0,64,176.359457
-750.0,75,176.516124
-660.0,66,176.648833
-760.0,76,176.798753
-660.0,66,176.933095
-820.0,82,177.093721
-610.0,61,177.207425
-530.0,53,177.315405
-820.0,82,177.479696
-840.0,84,177.677347
-950.0,95,177.879076
-710.0,71,178.044577
-680.0,68,178.17699
-870.0,87,178.351433
-940.0,94,178.620981
-970.0,97,178.891081
-860.0,86,181.259218
-660.0,66,181.384794
-560.0,56,181.480039
-770.0,77,181.620333
-760.0,76,181.776
-950.0,95,181.979965
-640.0,64,182.093242
-790.0,79,182.244867
-780.0,78,182.396616
-530.0,53,182.508884
-630.0,63,182.633998
-560.0,56,182.753237
-840.0,84,182.915175
-910.0,91,183.09942
-550.0,55,183.203326
-530.0,53,183.30367
-590.0,59,183.415716
-850.0,85,183.595956
-570.0,57,183.718936
-880.0,88,183.900165
-940.0,94,184.101905
-930.0,93,184.287834
-540.0,54,184.387963
-580.0,58,184.508072
-890.0,89,184.703811
-870.0,87,184.890602
-610.0,61,185.021748
-900.0,90,185.206852
-740.0,74,185.33652
-950.0,95,187.806637
-790.0,79,187.949306
-570.0,57,188.053982
-780.0,78,188.193063
-870.0,87,188.375631
-580.0,58,188.470816
-720.0,72,188.589205
-670.0,67,188.7115
-710.0,71,188.836064
-920.0,92,189.009112
-570.0,57,189.128046
-840.0,84,189.301795
-790.0,79,189.458811
-630.0,63,189.5901
-790.0,79,189.750959
-580.0,58,189.855842
-920.0,92,190.04073
-790.0,79,190.200163
-670.0,67,190.343878
-850.0,85,190.518906
-580.0,58,190.642004
-680.0,68,190.792984
-680.0,68,190.927086
-590.0,59,191.06769
-940.0,94,191.248956
-860.0,86,191.425208
-780.0,78,191.573326
-900.0,90,193.836809
-640.0,64,193.959034
-750.0,75,194.107093
-550.0,55,194.212435
-690.0,69,194.345539
-720.0,72,194.52815
-860.0,86,194.795399
-870.0,87,195.01628
-710.0,71,195.18293
-500.0,50,195.290817
-660.0,66,195.441329
-520.0,52,195.533594
-650.0,65,195.655979
-910.0,91,195.819956
-560.0,56,195.923631
-670.0,67,196.065848
-640.0,64,196.198858
-600.0,60,196.312255
-510.0,51,196.398552
-980.0,98,196.567221
-720.0,72,196.697847
-700.0,70,196.828015
-720.0,72,196.954792
-810.0,81,197.096988
-640.0,64,197.210036
-850.0,85,197.390342
-690.0,69,197.524528
-690.0,69,197.665227
-910.0,91,197.835703
-1000.0,100,200.064704
-680.0,68,200.200045
-690.0,69,200.347235
-740.0,74,200.509893
-540.0,54,200.617404
-890.0,89,200.789331
-960.0,96,200.972125
-520.0,52,201.070764
-900.0,90,201.245212
-570.0,57,201.363398
-840.0,84,201.533796
-750.0,75,201.700778
-790.0,79,201.871519
-550.0,55,202.001592
-800.0,80,202.15977
-600.0,60,202.273777
-610.0,61,202.385171
-560.0,56,202.545907
-540.0,54,202.718686
-520.0,52,202.84565
-630.0,63,202.998683
-690.0,69,203.183198
-810.0,81,203.372374
-670.0,67,203.510403
-740.0,74,203.637591
-600.0,60,203.756993
-780.0,78,203.905378
-550.0,55,204.012024
-600.0,60,204.126467
-840.0,84,206.340906
-560.0,56,206.451938
-860.0,86,206.620466
-790.0,79,206.773045
-840.0,84,206.933676
-610.0,61,207.05289
-590.0,59,207.172668
-550.0,55,207.291711
-770.0,77,207.460171
-660.0,66,207.606182
-540.0,54,207.715388
-590.0,59,207.822224
-670.0,67,207.944871
-910.0,91,208.12774
-800.0,80,208.299543
-580.0,58,208.412512
-640.0,64,208.53664
-940.0,94,208.730349
-1020.0,102,208.931434
-870.0,87,209.103322
-820.0,82,209.264405
-710.0,71,209.406357
-580.0,58,209.530641
-570.0,57,209.658997
-690.0,69,209.803844
-750.0,75,209.97019
-620.0,62,210.130999
-730.0,73,210.295309
-830.0,83,210.485853
-890.0,89,212.835402
-940.0,94,213.026547
-660.0,66,213.134735
-800.0,80,213.288728
-530.0,53,213.386209
-690.0,69,213.520964
-660.0,66,213.652714
-860.0,86,213.812553
-830.0,83,213.982633
-890.0,89,214.146213
-620.0,62,214.279389
-880.0,88,214.451095
-600.0,60,214.573595
-700.0,70,214.719232
-490.0,49,214.809169
-590.0,59,214.917774
-670.0,67,215.042737
-750.0,75,215.194378
-900.0,90,215.369145
-720.0,72,215.519734
-1010.0,101,215.754548
-580.0,58,215.883229
-700.0,70,216.030862
-720.0,72,216.161246
-750.0,75,216.321563
-870.0,87,216.476169
-570.0,57,216.585833
-680.0,68,216.73084
-750.0,75,219.060754
-960.0,96,219.26899
-530.0,53,219.398907
-710.0,71,219.530665
-800.0,80,219.689513
-540.0,54,219.789782
-670.0,67,219.926977
-640.0,64,220.052936
-600.0,60,220.162327
-600.0,60,220.278392
-1050.0,105,220.470835
-800.0,80,220.622771
-810.0,81,220.76981
-600.0,60,220.881419
-610.0,61,220.990271
-760.0,76,221.12439
-570.0,57,221.234362
-550.0,55,221.344639
-770.0,77,221.501631
-750.0,75,221.657435
-670.0,67,221.773621
-720.0,72,221.921378
-680.0,68,222.056565
-910.0,91,222.239612
-640.0,64,222.365265
-870.0,87,222.539581
-850.0,85,222.730628
-540.0,54,222.849087
-820.0,82,225.033551
-690.0,69,225.183327
-840.0,84,225.349283
-670.0,67,225.485806
-550.0,55,225.593246
-540.0,54,225.706709
-730.0,73,225.855929
-660.0,66,225.996038
-650.0,65,226.130896
-810.0,81,226.297394
-890.0,89,226.471667
-630.0,63,226.671573
-810.0,81,226.893324
-670.0,67,227.060836
-740.0,74,227.24348
-580.0,58,227.371749
-820.0,82,227.531039
-510.0,51,227.619942
-860.0,86,227.781183
-800.0,80,227.924875
-850.0,85,228.082631
-740.0,74,228.209065
-600.0,60,228.312052
-530.0,53,228.415527
-680.0,68,228.537855
-770.0,77,228.695077
-800.0,80,228.835199
-680.0,68,228.963151
-860.0,86,229.121476
-830.0,83,231.26106
-770.0,77,231.390828
-610.0,61,231.501751
-570.0,57,231.611389
-640.0,64,231.732224
-650.0,65,231.860931
-780.0,78,232.011651
-550.0,55,232.115765
-900.0,90,232.279789
-1080.0,108,232.493659
-550.0,55,232.598605
-960.0,96,232.78116
-720.0,72,232.928703
-600.0,60,233.036068
-860.0,86,233.208161
-890.0,89,233.382954
-860.0,86,233.550682
-570.0,57,233.689352
-770.0,77,233.860381
-490.0,49,233.960571
-650.0,65,234.092257
-710.0,71,234.24087
-870.0,87,234.415307
-920.0,92,234.701513
-750.0,75,234.905411
-930.0,93,235.112664
-600.0,60,235.264512
-560.0,56,235.398243
-510.0,51,237.490835
-650.0,65,237.618002
-780.0,78,237.77116
-560.0,56,237.877511
-710.0,71,238.012985
-790.0,79,238.173646
-970.0,97,238.362804
-650.0,65,238.505239
-870.0,87,238.661049
-880.0,88,238.835327
-840.0,84,238.98808
-1140.0,114,239.199751
-930.0,93,239.382729
-630.0,63,239.523095
-710.0,71,239.673548
-670.0,67,239.804491
-560.0,56,239.919989
-640.0,64,240.044403
-780.0,78,240.197704
-940.0,94,240.370547
-650.0,65,240.492193
-690.0,69,240.638489
-680.0,68,240.784304
-670.0,67,240.925953
-530.0,53,241.040072
-910.0,91,241.231623
-640.0,64,241.361925
-640.0,64,241.482296
-520.0,52,243.949273
-1140.0,114,244.158015
-580.0,58,244.282717
-540.0,54,244.388024
-710.0,71,244.527316
-650.0,65,244.628871
-800.0,80,244.760593
-850.0,85,244.929203
-920.0,92,245.116333
-560.0,56,245.239617
-680.0,68,245.376406
-990.0,99,245.569259
-770.0,77,245.71469
-720.0,72,245.856315
-810.0,81,246.029771
-600.0,60,246.148103
-870.0,87,246.326876
-610.0,61,246.454755
-890.0,89,246.61649
-780.0,78,246.777995
-560.0,56,246.899134
-930.0,93,247.062535
-750.0,75,247.213211
-530.0,53,247.312594
-590.0,59,247.424257
-790.0,79,247.584669
-820.0,82,247.765315
-860.0,86,249.934771
-610.0,61,250.059981
-1000.0,100,250.250279
-970.0,97,250.440602
-530.0,53,250.596821
-710.0,71,250.808611
-680.0,68,250.984457
-1020.0,102,251.223506
-1080.0,108,251.470321
-1100.0,110,251.672633
-610.0,61,251.782005
-1070.0,107,251.992558
-650.0,65,252.127436
-850.0,85,252.287507
-1070.0,107,252.464374
-820.0,82,252.609872
-730.0,73,252.735633
-770.0,77,252.881403
-620.0,62,252.995178
-560.0,56,253.098467
-650.0,65,253.227876
-780.0,78,253.389504
-950.0,95,253.558358
-630.0,63,253.670668
-560.0,56,253.788086
-1000.0,100,253.974224
-570.0,57,256.111148
-590.0,59,256.233161
-880.0,88,256.406187
-760.0,76,256.575318
-770.0,77,256.727134
-560.0,56,256.828126
-690.0,69,256.969579
-800.0,80,257.122746
-870.0,87,257.313072
-550.0,55,257.417603
-740.0,74,257.587542
-700.0,70,257.732123
-530.0,53,257.837525
-580.0,58,257.950016
-540.0,54,258.06304
-530.0,53,258.16994
-840.0,84,258.327778
-910.0,91,258.563187
-1020.0,102,258.874299
-830.0,83,259.083592
-950.0,95,259.317469
-520.0,52,259.434366
-840.0,84,259.594371
-530.0,53,259.69281
-770.0,77,259.842633
-540.0,54,259.941063
-1270.0,127,260.186631
-840.0,84,260.351252
-560.0,56,262.456505
-780.0,78,262.618196
-690.0,69,262.746563
-670.0,67,262.884363
-590.0,59,262.988209
-990.0,99,263.199715
-530.0,53,263.303054
-880.0,88,263.488988
-540.0,54,263.587197
-600.0,60,263.70011
-630.0,63,263.813029
-580.0,58,263.934706
-740.0,74,264.086245
-790.0,79,264.231409
-630.0,63,264.346401
-1050.0,105,264.573173
-530.0,53,264.690728
-510.0,51,264.794324
-580.0,58,264.904147
-910.0,91,265.079119
-880.0,88,265.246409
-850.0,85,265.421101
-720.0,72,265.57611
-800.0,80,265.743015
