rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,train/learning_rate,train/explained_variance,train/n_updates,train/entropy_loss,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/loss,train/clip_range
-189.97618713636365,2048,1,5,91.95454545454545,360,,,,,,,,,,
-176.99186039534885,4096,2,14,93.76744186046511,285,0.00025,-0.004509449,10,-1.3851991280913354,0.0029507405,1967.48716506958,-0.0032742223935201763,0.005322265625,812.2422485351562,0.2
-167.7489251076923,6144,3,22,94.07692307692308,274,0.00025,-0.013174057,20,-1.3816789094358684,0.0027144998,1073.7500051498414,-0.002550736753619276,0.000634765625,257.2781066894531,0.2
-155.4704442790698,8192,4,30,94.73255813953489,268,0.00025,-0.005180955,30,-1.3660622522234918,0.011787623,796.0363543510437,-0.010699937214667443,0.044482421875,394.378173828125,0.2
-147.65915998,10240,5,38,96.43,265,0.00025,-0.020853877,40,-1.3415890581905843,0.006217542,681.7461006164551,-0.004923869650519918,0.01806640625,337.83135986328125,0.2
-125.07041430999999,12288,6,46,97.45,265,0.00025,-0.00023698807,50,-1.3054266650229693,0.009361897,436.1052203178406,-0.008437992530525662,0.04853515625,109.51417541503906,0.2
-106.50529843999999,14336,7,53,100.32,265,0.00025,-0.000898242,60,-1.2901441991329192,0.008402772,269.8679141998291,-0.007097494811750949,0.11005859375,120.93352508544922,0.2
-96.73193098999998,16384,8,61,105.41,264,0.00025,-0.0014648438,70,-1.2594326809048653,0.0077258097,307.87741270065305,-0.011095765893696808,0.093115234375,143.01246643066406,0.2
-85.32530994000001,18432,9,70,111.44,262,0.00025,-0.0017439127,80,-1.2176862817257643,0.009140037,480.26700882911683,-0.009142134190187789,0.09990234375,140.41795349121094,0.2
-82.07020548,20480,10,77,117.41,262,0.00025,-0.020647883,90,-1.192456404492259,0.011304326,445.5441036224365,-0.006384429652825929,0.0708984375,119.27639770507812,0.2
-77.80914036000001,22528,11,85,126.26,263,0.00025,-0.001984477,100,-1.1329998590052128,0.01508084,440.03466453552244,-0.00899498347134795,0.1310546875,127.2021484375,0.2
-73.90541575,24576,12,93,134.68,263,0.00025,-0.00014734268,110,-1.1344221726059913,0.006730222,494.72606167793276,-0.007924506251583807,0.055224609375,273.07098388671875,0.2
-76.49997217,26624,13,101,145.58,263,0.00025,-7.665157e-05,120,-1.1149609323590994,0.0085779615,487.8115607261658,-0.0033419248793506995,0.022216796875,292.73455810546875,0.2
