#{"t_start": 1744430857.8661432, "env_id": "LunarLander-v2"}
r,l,t
-317.644013,81,0.474217
-129.667367,65,0.663341
-159.40199,83,0.857007
-102.222654,77,1.060716
-107.441026,95,1.31692
-152.204188,94,1.582405
-165.718487,87,1.888709
-77.634421,78,2.143564
-279.055993,122,2.532275
-343.291015,83,2.785583
-239.456768,109,3.098125
-111.303915,104,3.373284
-158.121221,81,3.575879
-84.293765,99,3.831128
-477.007208,107,4.11305
-65.253336,68,4.272728
-106.381135,103,4.513448
-148.684993,75,4.713459
-110.496086,101,4.979159
-368.465718,129,5.312893
-361.743602,112,5.57206
-113.987216,70,5.741543
-335.767946,104,8.949158
-111.780832,113,9.284037
-78.162485,100,9.583614
-245.932464,128,10.025681
-106.643271,116,10.413198
-127.237299,96,10.738883
-219.959182,74,10.974243
-312.696053,91,11.246704
-88.225787,70,11.436639
-174.606632,108,11.745831
-252.941397,94,11.968892
-78.969016,111,12.231641
-231.188406,104,12.470905
-132.211701,91,12.687663
-155.333535,59,12.825903
-72.353213,64,12.978426
-233.707708,111,13.263016
-269.780501,98,13.513171
-109.653784,110,13.780987
-42.207685,98,14.048848
-51.814983,69,14.254743
-89.011469,104,17.291352
-91.05504,92,17.501638
-120.797315,76,17.68829
-104.738195,76,17.914863
-196.546396,78,18.164963
-90.077309,81,18.403417
-159.614092,91,18.669588
-373.474056,84,18.900943
-108.531918,67,19.093575
-179.379397,106,19.314188
-123.837495,90,19.529799
-255.576859,140,19.834392
-256.966715,130,20.145573
-145.130538,85,20.376738
-97.737397,103,20.679759
-112.417463,75,20.88665
-104.332596,73,21.079072
-153.288442,123,21.410092
-161.308937,99,21.655428
-110.741979,117,21.936452
-142.124813,117,22.236415
-116.341714,76,22.444153
-232.569428,82,25.558225
-165.892722,100,25.810937
-79.541033,62,26.013157
-52.234471,80,26.249227
-180.667872,102,26.524524
-216.803331,79,26.721732
-61.068222,85,26.917725
-37.280502,125,27.248808
-35.362063,63,27.408865
-304.024192,102,27.644809
-57.520566,70,27.79789
-239.968841,104,28.047896
-72.04107,118,28.350538
-48.785711,152,28.713006
-42.828301,114,28.99819
-130.349303,81,29.189612
-118.301625,132,29.572056
-121.761623,83,29.82488
-145.27022,127,30.150038
-64.502972,102,30.404612
-60.004008,69,30.575787
-216.566708,84,33.401271
-88.735316,79,33.586158
-64.416194,84,33.831621
-259.35522,108,34.16494
-61.521859,75,34.391438
-83.759269,121,34.752927
-194.19175,118,35.075207
-95.624342,103,35.336267
-123.145447,68,35.509042
-91.841446,98,35.75817
-232.457136,112,36.038538
-52.139669,70,36.221814
-90.706527,126,36.563789
-77.730807,110,36.860787
-194.372004,135,37.204126
-102.401435,104,37.488739
-57.972842,88,37.703243
-41.340079,123,37.974278
-87.88066,105,38.229584
-106.714465,88,38.435307
-206.88434,79,38.626547
-219.259201,136,41.63117
-57.306757,99,41.946763
-54.321249,83,42.173048
-74.053957,116,42.484483
-108.478938,88,42.710519
-81.042769,91,42.921785
-110.931542,92,43.124538
-92.473288,101,43.381928
-71.831942,73,43.550358
-76.617567,109,43.808479
-90.764762,113,44.060509
-55.825277,146,44.399623
-18.500975,85,44.594501
-40.536262,109,44.835892
-78.621983,122,45.126167
-81.344405,104,45.374636
-66.903553,103,45.640354
-92.780299,114,45.93848
-86.350826,104,46.195871
-64.241052,133,49.095908
-130.652356,131,49.413827
-22.993088,113,49.702166
-87.723059,127,50.083621
-126.777437,112,50.418455
28.168216,94,50.703336
-44.509118,91,50.943756
-35.20532,76,51.124567
-60.717927,103,51.34061
-78.581182,84,51.52776
-92.242076,135,51.827588
-86.271179,97,52.092761
-27.858217,80,52.271856
-39.699322,91,52.503524
-40.997912,127,52.827752
-52.968007,74,53.004625
-37.802972,139,53.348136
-18.986105,123,53.644583
-77.58971,112,53.907547
-6.234567,81,54.102616
-62.427365,122,57.085404
