#{"t_start": 1744462279.9696674, "env_id": "LunarLander-v2"}
r,l,t
-32.671408,123,79.560167
-288.54538,204,79.915598
-37.079362,133,82.014836
-36.367167,145,82.281326
-41.673119,212,82.638468
18.797312,158,82.937334
13.092331,126,83.19143
-52.307034,114,83.420216
-59.691859,134,83.675212
-270.257995,248,84.278753
-21.119659,138,84.613368
-105.817091,152,84.980557
-147.270544,194,85.322524
-24.481322,121,85.527937
-153.788971,231,87.824906
1.139854,143,88.070758
-22.957285,122,88.28237
-81.764207,225,88.684317
-48.699736,236,89.139219
-40.649888,197,89.471862
-131.356834,180,89.801543
10.754809,169,90.103833
-55.317963,161,90.411587
-48.576,254,90.859721
-10.587599,196,91.218921
-164.325255,193,93.612685
-6.962897,136,93.847994
-4.829348,114,94.075234
-67.563279,262,94.536174
54.401699,1000,96.316271
-80.322826,235,96.733155
28.977931,133,96.961748
-88.458897,208,99.31008
-234.735631,364,99.995774
-242.730041,222,100.562838
-184.108103,217,101.01713
-162.278512,166,101.282418
-85.659592,365,101.895381
-224.90323,193,102.204252
-59.373866,267,102.627486
-4.806235,203,104.837843
-19.543858,258,105.254966
-287.656608,375,105.931711
60.973387,1000,107.710174
23.532338,328,108.442751
-90.462026,373,110.989993
-25.797044,296,111.555817
-282.96039,233,111.969896
-232.770189,311,112.52929
-34.972871,152,112.819089
38.250377,1000,116.854284
-62.029165,123,117.111938
-215.687202,382,117.768039
-20.391144,429,118.568854
66.206223,163,118.882809
96.608721,1000,122.651534
3.373987,246,123.088526
-193.210204,289,123.587102
39.789789,1000,125.651885
-8.024058,403,128.314523
-36.870575,275,128.789117
62.791056,171,129.108712
-12.302433,316,129.682353
-6.10659,130,129.913169
-80.416665,332,130.551047
-13.200524,206,130.932104
-35.365323,296,131.467775
19.037998,211,133.91919
-182.935193,431,134.60469
-8.66164,191,134.933031
8.980296,179,135.242707
0.530449,195,135.596625
-52.06699,186,135.944139
-25.581618,344,136.562372
62.385042,1000,140.356024
-20.463746,232,140.901132
-33.897321,149,141.183941
32.442055,174,141.495336
-40.400082,235,141.894621
-25.979265,202,142.231568
6.347029,164,142.514461
-16.258979,149,142.758429
23.08964,155,144.918327
-38.83047,221,145.325111
6.471362,238,145.740025
-65.829435,261,146.264502
-163.125028,172,146.555684
-0.092552,334,147.157053
197.001625,844,150.900908
-15.039987,212,151.328089
-33.879832,171,151.637943
-6.75909,234,152.042903
24.159512,134,152.261862
169.763388,1000,154.068918
-198.841566,196,154.442966
-92.580784,321,157.21304
-0.782326,145,157.454869
0.031278,200,157.742977
-49.199752,190,158.037344
-76.264607,226,158.42368
36.987503,271,158.87499
-9.558178,222,159.237022
45.222824,182,159.546633
-4.852098,296,160.081533
-56.238363,180,162.364461
5.4415,225,162.764625
-17.86103,218,163.165642
-2.445814,322,163.703136
143.947635,1000,165.619475
57.460705,1000,169.3338
7.535506,310,169.885227
-81.165321,288,170.403189
-52.979532,229,170.808766
-176.907223,466,173.754824
-73.233857,347,174.307123
-4.175388,196,174.598241
96.690897,1000,176.396122
122.643729,1000,180.233821
-52.756554,370,181.062116
98.6385,1000,182.914865
172.585952,1000,186.819334
-12.078519,449,187.715975
-56.905467,218,188.193587
48.335132,1000,191.954173
15.900043,258,192.428991
46.401585,293,192.953257
19.026644,389,193.652131
-12.481793,310,194.224409
-6.903117,268,194.689414
98.39378,1000,198.524816
120.741927,1000,200.210986
93.785045,1000,204.021465
42.044295,1000,206.003412
106.561218,1000,209.621711
79.06075,1000,211.401359
78.058271,1000,215.243498
122.110653,1000,217.059514
71.08399,1000,221.131869
36.389684,1000,222.741714
115.618663,1000,226.371685
-52.053808,422,227.111526
103.602116,1000,230.979645
134.021688,1000,232.753342
69.240543,1000,236.638857
142.538153,1000,238.419308
130.882844,1000,242.136106
47.24968,1000,243.917805
134.230425,1000,245.938284
119.498208,1000,249.717941
117.757806,1000,251.61845
80.956662,1000,255.556444
114.611127,1000,257.356987
93.215137,1000,261.424865
-17.573185,427,262.131185
135.455507,1000,265.861558
161.170161,1000,267.659003
125.706335,1000,271.490181
74.966584,1000,273.26837
249.739004,725,274.575627
258.180054,599,277.875943
214.075457,610,278.913706
21.865752,280,279.43694
195.745639,877,283.06347
249.052997,536,284.057779
-55.82211,272,284.778201
269.344162,457,285.639268
12.390605,249,286.082683
214.456219,364,288.598447
224.914814,359,289.248355
88.660969,1000,291.086805
233.352017,358,291.718661
281.4926,409,294.591556
242.653576,479,295.39819
237.796585,414,296.144666
260.224815,515,297.058222
262.928786,420,297.806391
-3.688057,330,300.51275
236.986458,441,301.388227
215.04103,381,302.048687
242.262752,372,302.642203
228.50063,357,303.252582
242.403348,446,305.829403
238.085221,408,306.577748
270.599391,370,307.29096
217.087852,440,308.075282
251.049254,416,309.006559
226.513484,385,311.525639
26.662644,342,312.111742
36.081771,348,312.734554
1.134152,405,313.48238
