rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,train/learning_rate,train/explained_variance,train/n_updates,train/entropy_loss,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/loss,train/clip_range
-203.0222704285714,2048,1,4,94.76190476190476,462,,,,,,,,,,
-169.66364124999998,4096,2,10,92.95454545454545,392,0.00025,0.0058465004,10,-1.382686998322606,0.0072099725,1750.7864910125732,-0.007957009560777805,0.014111328125,824.6354370117188,0.2
-162.04249534848486,6144,3,16,92.36363636363636,372,0.00025,-0.016406178,20,-1.3771286059170962,0.0056272177,885.0423044204712,-0.005931044105091132,0.032275390625,390.95477294921875,0.2
-151.32038612643677,8192,4,22,92.9080459770115,360,0.00025,0.00026780367,30,-1.3686331767588853,0.009686361,696.1009524345397,-0.0071385845978511496,0.011328125,159.53782653808594,0.2
-159.96528719000003,10240,5,28,94.6,354,0.00025,-0.0033855438,40,-1.3489665444940329,0.0032648644,608.5416199684144,-0.0028180368011817337,0.009033203125,236.25314331054688,0.2
-146.13199099,12288,6,35,95.99,350,0.00025,-0.0025126934,50,-1.3648893862962723,0.005457684,1193.8695216178894,-0.002381043817149475,0.00400390625,507.3714294433594,0.2
-147.70269154,14336,7,41,106.12,349,0.00025,2.9623508e-05,60,-1.3599611282348634,0.0032451048,720.0188748359681,-0.0033686701310216447,0.005419921875,520.9417724609375,0.2
-144.34399323,16384,8,47,108.43,346,0.00025,0.01972568,70,-1.3579344034194947,0.008274283,658.5423780918121,-0.011628536439093295,0.103857421875,305.6951904296875,0.2
-147.88221575,18432,9,53,112.03,345,0.00025,-0.48300552,80,-1.32865244820714,0.008216806,659.798533153534,-0.003705105566768907,0.017578125,226.76414489746094,0.2
-148.87280904,20480,10,59,113.9,343,0.00025,0.009816527,90,-1.3365944478660823,0.0063294386,442.91338415145873,-0.0062812533258693294,0.027783203125,106.43826293945312,0.2
-141.94555763,22528,11,66,114.51,340,0.00025,0.020739436,100,-1.3236763909459115,0.010330058,420.08773574829104,-0.008945922533166594,0.076611328125,265.4031982421875,0.2
-145.32502511,24576,12,72,111.83,339,0.00025,0.01693368,110,-1.3233963534235955,0.013470496,485.0306762695312,-0.008201353246113286,0.082421875,155.96206665039062,0.2
-138.9913474,26624,13,79,114.24,336,0.00025,0.0018973947,120,-1.3130790010094642,0.0073718876,358.0785903930664,-0.009945101698394864,0.080126953125,143.36343383789062,0.2
-127.04018353999999,28672,14,84,115.94,337,0.00025,0.082321584,130,-1.2965213142335414,0.007229773,277.5245424747467,-0.009574542165501044,0.03935546875,131.8551025390625,0.2
-109.99983388999999,30720,15,90,118.52,339,0.00025,0.10261339,140,-1.2407311528921128,0.0058040954,142.97466518878937,-0.007982636713131796,0.014013671875,63.089508056640625,0.2
-107.97692962,32768,16,96,125.45,341,0.00025,0.38404882,150,-1.2324839226901532,0.010254296,146.25842003822328,-0.010646101615566294,0.072900390625,68.195556640625,0.2
-101.16517409,34816,17,101,138.42,342,0.00025,0.29033655,160,-1.1937939248979093,0.008506186,295.7285278558731,-0.012906123520224355,0.072119140625,121.35899353027344,0.2
-87.18014860000001,36864,18,107,144.91,342,0.00025,0.41753173,170,-1.2773024376481772,0.0082323095,178.9198196411133,-0.00456044077000115,0.042578125,69.7425308227539,0.2
-78.44001941,38912,19,113,158.04,341,0.00025,0.33771563,180,-1.1473670978099109,0.008174924,242.85194351673127,-0.009386258733866271,0.0537109375,119.94098663330078,0.2
-74.10641162,40960,20,120,161.53,341,0.00025,0.6637062,190,-1.2186929732561111,0.0069879973,126.33905296325683,-0.006456569703004789,0.06298828125,44.954063415527344,0.2
-62.288169970000006,43008,21,126,173.27,340,0.00025,0.3261029,200,-1.1913976237177848,0.0065205097,160.06858394145965,-0.005572020058752969,0.063525390625,71.79550170898438,0.2
-54.34556326,45056,22,132,183.38,341,0.00025,0.5973537,210,-1.1987846173346042,0.007024298,151.26368930339814,-0.002123222392401658,0.046826171875,80.57563018798828,0.2
-51.304068179999994,47104,23,138,190.76,339,0.00025,0.6768197,220,-1.209046309813857,0.0062865354,99.57432835102081,-0.005843717575771734,0.044970703125,32.112186431884766,0.2
-44.8807665,49152,24,144,196.21,339,0.00025,0.5269884,230,-1.1887351013720036,0.0064540845,200.81951150894164,-0.003189413988729939,0.029833984375,109.08240509033203,0.2
-36.4022976,51200,25,150,197.31,339,0.00025,0.7632794,240,-1.1832639753818512,0.006708583,127.92479921579361,-0.004379256136598997,0.026611328125,80.55564880371094,0.2
-31.797453579999996,53248,26,156,200.28,339,0.00025,0.83434415,250,-1.1546525504440068,0.009190576,133.8673746228218,-0.00893450052535627,0.06943359375,72.292236328125,0.2
-30.29479165999999,55296,27,162,200.25,339,0.00025,0.836297,260,-1.165731793269515,0.0061315363,147.06792612075805,-0.005022419098531827,0.04404296875,57.66394805908203,0.2
-32.32202722,57344,28,168,208.49,340,0.00025,0.8733717,270,-1.272340188920498,0.010539236,73.30401270985604,-0.012142829319054726,0.0828125,34.4226188659668,0.2
-27.912035999999997,59392,29,174,225.53,341,0.00025,0.76878947,280,-1.1859657250344753,0.0035947505,205.85194561481475,-0.003541623175260611,0.0080078125,114.22261047363281,0.2
-26.986261109999997,61440,30,179,226.63,341,0.00025,0.8086656,290,-1.1992801927030086,0.00542954,100.32283155322075,-0.008965950978745241,0.018017578125,31.70938491821289,0.2
-27.088276539999995,63488,31,185,234.93,341,0.00025,0.755763,300,-1.1770502001047134,0.0074366424,114.15045846104621,-0.0017864879686385394,0.040478515625,30.536579132080078,0.2
-20.933525889999995,65536,32,192,250.07,340,0.00025,0.49594212,310,-1.273270082101226,0.006365995,163.34939203858374,-0.0036158430913928894,0.017529296875,52.45768737792969,0.2
-19.73272308,67584,33,198,257.89,340,0.00025,0.8355073,320,-1.245432562753558,0.0075266287,54.237394040822984,-0.01029720361402724,0.05947265625,52.94145965576172,0.2
-18.56520301,69632,34,204,274.82,339,0.00025,0.76994455,330,-1.2540029291063548,0.009628933,52.90709220767021,-0.010735852665675338,0.074609375,17.972318649291992,0.2
-15.16922679,71680,35,211,291.68,339,0.00025,0.68594253,340,-1.2430103566497563,0.00439682,96.85257808566094,-0.0055291531134571414,0.019384765625,37.28797149658203,0.2
-20.35962426,73728,36,217,302.82,339,0.00025,0.8129952,350,-1.1958509437739848,0.005112662,41.884877824783324,-0.004288860538508743,0.033251953125,14.931733131408691,0.2
-20.218320560000006,75776,37,223,304.33,339,0.00025,0.615673,360,-1.1255028057843446,0.0054348083,269.0054649353027,-0.0038099688244983554,0.026123046875,99.4430160522461,0.2
-18.59703143,77824,38,231,321.02,336,0.00025,0.7889058,370,-1.2101387832313777,0.005688655,136.1038567185402,-0.006158711403259076,0.0330078125,87.32006072998047,0.2
-20.151158019999997,79872,39,238,333.2,335,0.00025,0.94409305,380,-1.2588630352169274,0.006192739,15.261922511458398,-0.005147184967063368,0.02333984375,6.14602518081665,0.2
-21.659397039999998,81920,40,245,342.11,333,0.00025,0.80049276,390,-1.2032503586262464,0.0048115007,154.53438868522645,-0.0033002582495100796,0.012158203125,62.46430969238281,0.2
-21.80744687,83968,41,251,351.31,333,0.00025,0.72106004,400,-1.1704590283334255,0.0044375053,238.7396338701248,-0.003309644220280461,0.010595703125,150.31146240234375,0.2
-20.135899089999995,86016,42,258,368.3,332,0.00025,0.74623954,410,-1.259772440418601,0.005234197,138.8081110596657,-0.006689535999612417,0.03349609375,131.84878540039062,0.2
-18.643781199999992,88064,43,264,386.1,332,0.00025,0.88089585,420,-1.2781396523118018,0.004725133,23.87749564945698,-0.006662746227812022,0.030810546875,5.501924991607666,0.2
-15.199552829999995,90112,44,270,402.13,332,0.00025,0.7283013,430,-1.2486327670514583,0.0038271183,135.19912205338477,-0.002294964074098971,0.0052734375,47.4089241027832,0.2
-13.456222499999997,92160,45,277,419.09,332,0.00025,0.7720475,440,-1.2955267060548068,0.0076870406,47.58981964290142,-0.007122317564790137,0.105712890625,6.684016227722168,0.2
-10.0746252,94208,46,283,435.89,331,0.00025,0.7700633,450,-1.2376639481633902,0.006967022,105.22362282574177,-0.006978056574007496,0.040869140625,43.1058235168457,0.2
-7.49192673,96256,47,290,452.54,331,0.00025,0.8733095,460,-1.2517559621483088,0.0033390797,33.59789893180132,-0.008970828555175104,0.0255859375,2.9699831008911133,0.2
-5.3069805599999995,98304,48,296,460.03,331,0.00025,0.84294987,470,-1.2546971194446086,0.00613535,38.61957849562168,-0.007092944404575974,0.028857421875,9.927633285522461,0.2
-2.6499787900000014,100352,49,302,476.93,331,0.00025,0.85780615,480,-1.142916040495038,0.0075827925,53.02528065145016,-0.004239869448065292,0.04970703125,16.00713348388672,0.2
1.2618422700000018,102400,50,309,486.33,331,0.00025,0.86933804,490,-1.2370364550501107,0.0046387673,26.741778945922853,-0.00547365810489282,0.018798828125,8.870396614074707,0.2
6.042839200000002,104448,51,315,485.75,330,0.00025,0.80276155,500,-1.2014604650437832,0.0073411213,116.04362663626671,-0.004627389417146332,0.040380859375,30.40192985534668,0.2
9.564282240000002,106496,52,322,492.98,330,0.00025,0.85526824,510,-1.1662436295300722,0.004536991,105.15027396678924,-0.0038163441698998214,0.005615234375,24.93134307861328,0.2
