#{"t_start": 1744434193.7838907, "env_id": "LunarLander-v2"}
r,l,t
29.598244,70,0.18783
-98.034189,94,0.437007
-115.924822,110,0.664857
-306.32173,121,0.95007
-108.168386,80,1.153748
-92.575492,111,1.413292
-306.626248,87,1.607865
-216.780045,108,1.824614
-196.588186,90,2.010524
-268.1883,98,2.182757
-130.88367,87,2.350356
-335.45948,96,2.52875
-149.924545,85,2.673471
-291.744693,86,2.825196
-396.645102,92,3.006765
-212.322722,82,3.188914
-211.085359,105,3.450867
-259.463324,116,3.733316
-147.982099,116,3.978612
-377.574315,94,4.180807
-70.773216,62,4.296873
-179.352522,78,6.418401
-64.053336,85,6.567782
-264.611647,95,6.743748
-164.58188,126,6.98171
-277.235328,90,7.154639
-156.866303,94,7.327949
-76.880146,65,7.470324
-108.14994,65,7.607575
-70.12322,62,7.728761
-49.033024,130,7.984797
-127.553783,109,8.205148
-150.282597,83,8.375932
-126.459057,108,8.587522
-139.916978,85,8.763838
-105.85571,91,8.957863
-123.313024,81,9.123046
-110.849227,91,9.327249
-152.502632,86,9.48674
-87.7589,96,9.671865
-300.908322,102,9.871437
-102.718969,107,10.068753
-138.497047,75,10.223559
-124.228944,96,10.425313
-204.652768,135,12.787627
-58.389065,69,12.90781
-139.377912,72,13.030736
-204.917457,138,13.294831
-236.896485,109,13.506675
-196.867627,83,13.659783
-52.501878,78,13.817504
-108.272342,111,14.03936
-250.586487,114,14.23439
-113.087801,64,14.363602
-99.442533,87,14.524044
-86.342631,120,14.764793
-118.711559,80,14.920822
-207.282773,65,15.034137
-84.731621,77,15.170688
-206.745597,95,15.347592
-155.513609,103,15.5378
-104.102545,75,15.678648
-104.711767,75,15.834383
-107.186832,56,15.957336
-144.180693,108,16.189986
-245.102496,92,16.388753
-66.601119,132,18.680743
-78.213678,65,18.819749
-68.38326,67,18.952605
-83.457384,89,19.167684
-208.119984,74,19.368408
-32.538978,77,19.563363
-277.239817,123,19.838835
-127.390836,103,20.081711
-219.241058,96,20.255008
-59.614525,113,20.49715
-93.98912,67,20.638864
-138.463234,85,20.788645
-84.549004,72,20.920005
-97.912155,161,21.226568
-93.510674,88,21.374779
-114.968536,84,21.539619
-49.794933,69,21.684717
-211.806243,82,21.853502
-129.936296,84,22.001854
-82.165199,145,22.291648
-152.172867,111,22.495297
-352.877825,145,24.700519
-193.915321,99,24.888405
-75.879516,119,25.11388
-270.864417,145,25.393097
-59.268921,65,25.524998
-24.259208,120,25.773879
-176.26499,80,25.93367
-268.481605,77,26.089121
-72.123788,70,26.221029
-147.929665,61,26.347182
-135.806429,90,26.535392
-178.568045,103,26.73983
-176.855437,125,27.003739
-367.732442,133,27.404851
-250.331004,88,27.630846
-238.324835,112,27.897418
-193.614039,147,28.180707
-128.130385,57,28.284016
-166.148637,121,28.50384
-352.33124,93,28.69074
-67.112805,124,30.932152
-234.473332,116,31.164098
-128.8824,89,31.34188
-142.094414,83,31.522795
-215.415294,100,31.741713
-331.599788,84,31.923958
-96.620928,79,32.070327
-159.033434,136,32.32966
-239.589333,108,32.541347
-206.667817,92,32.72767
-290.86157,125,32.980072
-178.229771,151,33.310561
-90.042902,95,33.484745
-95.41887,83,33.63181
-94.52271,96,33.837993
-103.716101,96,34.013161
-188.474412,74,34.159411
-94.186063,67,34.300552
-93.914579,78,34.460849
-45.093991,79,34.632721
-6.868421,129,34.910707
-70.997603,70,35.050759
79.511332,1000,38.995122
-53.386413,79,39.140756
-362.10832,85,39.30447
-45.593767,135,39.555089
-91.630882,99,39.754116
-72.301545,89,39.926421
-85.717978,89,40.115325
-25.09939,129,40.351549
-161.851179,120,40.603208
-127.913905,116,40.830323
-454.62616,94,41.024259
-228.04284,127,43.446475
-298.597148,123,43.736999
-205.580756,99,43.955242
-131.177141,116,44.229324
-101.422605,140,44.491885
-104.038111,124,44.701518
-73.875155,106,44.882582
-111.343467,90,45.055299
-84.847351,69,45.188663
-82.467576,100,45.379977
-251.37116,154,45.683605
22.446905,109,45.869332
-187.67518,81,46.021313
23.842087,106,46.234797
-68.459309,87,46.392461
-108.395779,88,46.554856
-120.230195,81,46.694824
-270.640264,147,46.985492
-110.669345,66,47.126703
-97.848691,63,49.159174
-114.314079,84,49.310743
-261.202754,113,49.539361
-76.914748,81,49.715263
-109.474155,91,49.901925
-251.159843,177,50.247332
-56.291153,63,50.366541
-74.124011,81,50.543076
-186.184406,115,50.770246
-208.702027,140,51.049839
-93.056248,78,51.29954
-81.390418,102,51.58507
-105.924753,102,51.823648
-155.684307,132,52.119814
-278.548165,86,52.271832
-144.335553,155,52.557243
-146.033105,144,52.82723
-172.674874,107,53.026573
-260.755494,141,53.276772
-252.641202,106,55.416311
-181.737081,107,55.628546
-213.529062,150,55.923736
-83.978839,74,56.07651
-132.195489,106,56.283583
-74.187582,70,56.421221
-149.73597,85,56.597435
-92.146536,144,56.891189
-288.686774,120,57.155211
-131.057396,132,57.43554
-159.232853,124,57.684779
-56.326848,78,57.838571
-167.81229,156,58.137471
-198.546205,115,58.389542
-46.676933,67,58.524884
-32.96489,93,58.730342
-71.630198,74,58.883996
-193.980119,126,59.178732
-230.674225,137,59.575609
-123.163526,133,62.123755
-144.383918,90,62.329345
-232.335885,96,62.54502
