#{"t_start": 1744013230.2761657, "env_id": "ALE/Breakout-v5"}
r,l,t
3.0,234,1187.399627
6.0,395,1193.914759
7.0,403,1200.530734
7.0,364,1206.942709
8.0,456,1215.399641
4.0,283,1219.781354
6.0,426,1226.566583
9.0,338,1232.703358
6.0,342,1238.962929
8.0,436,1245.700324
6.0,349,1251.728798
15.0,414,1258.305363
15.0,588,1268.475659
5.0,322,1273.123135
4.0,308,1279.006724
9.0,357,1283.988638
9.0,459,1292.336454
10.0,497,1301.080083
12.0,416,1307.816961
6.0,352,1314.11096
9.0,484,1322.839115
7.0,374,1329.549153
7.0,301,1335.424748
5.0,313,1340.43693
5.0,322,1347.501714
3.0,282,1352.48182
7.0,410,1360.571974
6.0,377,1367.787705
5.0,316,1373.852476
8.0,407,1380.404391
9.0,505,1388.815258
5.0,305,1393.229366
12.0,605,1403.412743
6.0,345,1409.499352
7.0,409,1416.01411
5.0,301,1420.4613
4.0,292,1424.925717
7.0,407,1432.645965
6.0,331,1437.191501
7.0,382,1443.484379
7.0,368,1449.687522
7.0,390,1456.106646
3.0,218,1460.087311
2.0,197,1462.610885
5.0,305,1468.679004
6.0,372,1475.16582
7.0,399,1481.657765
3.0,235,1485.849388
5.0,319,1490.34462
6.0,368,1496.533472
5.0,303,1501.045113
10.0,515,1509.586993
3.0,243,1513.65588
2.0,613,1523.819528
3.0,227,1527.905619
5.0,323,1532.618737
3.0,287,1538.43943
2.0,189,1541.086858
2.0,201,1544.958138
11.0,619,1553.993546
3.0,217,1557.813758
7.0,267,1562.13811
2.0,193,1565.942887
2.0,186,1568.518249
3.0,214,1572.445717
3.0,220,1576.426754
2.0,191,1578.935958
3.0,218,1583.040095
3.0,223,1587.110762
4.0,250,1590.05312
7.0,332,1596.041699
6.0,330,1602.090538
8.0,290,1606.352722
4.0,281,1610.726644
9.0,459,1618.661585
10.0,391,1625.014493
9.0,492,1633.464386
2.0,185,1636.031106
4.0,271,1640.275321
8.0,411,1646.869666
8.0,299,1652.767154
5.0,328,1657.787546
10.0,458,1666.240344
6.0,345,1672.436208
6.0,362,1677.542459
8.0,297,1683.511344
6.0,349,1688.545907
10.0,533,1699.086651
7.0,3544,1757.172287
5.0,327,1763.060311
4.0,353,1769.125406
4.0,282,1773.464213
2.0,400,1779.85559
4.0,307,1784.375398
3.0,243,1788.747561
3.0,232,1793.045511
4.0,295,1797.759165
4.0,301,1803.616759
5.0,361,1808.496233
1.0,158,1812.24334
3.0,237,1816.432234
4.0,266,1820.844991
1.0,169,1823.315018
3.0,228,1827.421793
3.0,248,1831.729758
3.0,232,1835.91789
6.0,408,1842.668501
6.0,388,1849.090607
5.0,313,1853.682599
6.0,343,1859.691097
4.0,259,1863.929514
5.0,276,1868.296279
3.0,246,1872.596152
3.0,218,1876.691295
4.0,287,1881.458878
7.0,250,1886.023756
1.0,155,1888.363451
9.0,363,1894.900394
3.0,277,1899.270345
3.0,217,1903.304709
7.0,250,1907.559587
3.0,219,1910.207874
3.0,215,1914.278633
4.0,246,1918.592475
4.0,311,1923.267674
3.0,216,1927.319538
5.0,324,1933.271935
3.0,232,1936.013518
3.0,216,1940.08874
10.0,348,1946.376509
3.0,231,1950.565918
3.0,216,1953.310437
3.0,215,1957.571608
4.0,246,1961.845556
3.0,228,1966.230874
3.0,218,1968.999096
7.0,249,1973.193294
4.0,274,1978.807552
4.0,5198,2068.134328
4.0,264,2072.611498
4.0,265,2077.093817
8.0,299,2083.128546
8.0,303,2087.675686
4.0,270,2092.239723
3.0,217,2096.467786
6.0,375,2103.168671
2.0,200,2105.838548
2.0,201,2109.793888
3.0,232,2113.907481
2.0,203,2116.641212
2.0,207,2120.639964
3.0,229,2124.986525
4.0,278,2129.577557
2.0,201,2132.260688
4.0,275,2138.229475
2.0,202,2140.885685
6.0,372,2147.652848
5.0,291,2152.326992
4.0,243,2156.75382
2.0,188,2160.596408
3.0,226,2163.467203
4.0,243,2167.631402
7.0,324,2173.751754
4.0,276,2178.235952
4.0,290,2182.986519
4.0,263,2187.389691
2.0,188,2191.431823
3.0,232,2195.75258
2.0,187,2198.317003
5.0,288,2202.79832
9.0,315,2208.996206
3.0,216,2213.166651
5.0,311,2217.865844
4.0,252,2222.099476
7.0,293,2226.653537
4.0,262,2230.883675
5.0,313,2236.678373
7.0,275,2241.186831
5.0,405,2247.559908
3.0,227,2251.698148
5.0,307,2256.201643
4.0,265,2260.657573
5.0,299,2266.618887
7.0,266,2270.963671
3.0,237,2275.428346
5.0,319,2280.329559
9.0,474,2288.680605
8.0,288,2293.253506
2.0,226,2297.254534
5.0,305,2301.950492
2.0,215,2305.950834
7.0,261,2310.198344
4.0,257,2314.559355
4.0,513,2323.375048
9.0,354,2329.738034
11.0,281,2334.348056
9.0,355,2340.86741
3.0,219,2343.56056
2.0,202,2347.584142
7.0,270,2351.983227
7.0,290,2356.494785
4.0,542,2365.337378
7.0,264,2370.966159
4.0,288,2375.589429
5.0,332,2380.485698
5.0,307,2386.905416
6.0,379,2393.455186
5.0,330,2398.231356
6.0,375,2404.670346
3.0,231,2408.881593
3.0,272,2413.318908
3.0,232,2417.585055
3.0,221,2421.598112
3.0,218,2424.214693
3.0,218,2428.330255
5.0,354,2434.460895
4.0,244,2438.749521
1.0,151,2441.189447
4.0,280,2445.618004
4.0,276,2450.10358
5.0,307,2455.948673
5.0,313,2460.650864
5.0,297,2465.166564
4.0,262,2470.796325
6.0,357,2475.730031
9.0,351,2481.941089
9.0,345,2488.031095
7.0,373,2494.359902
5.0,298,2498.890942
12.0,333,2505.14158
10.0,395,2511.884753
8.0,337,2516.80808
13.0,455,2524.993729
7.0,401,2531.47565
4.0,281,2535.79338
4.0,266,2540.20927
6.0,339,2546.281976
3.0,519,2554.777278
10.0,372,2561.432949
4.0,273,2565.994436
4.0,248,2570.412518
5.0,385,2577.241575
4.0,300,2581.865059
3.0,236,2586.100299
4.0,262,2590.378233
1.0,208,2594.211571
4.0,281,2598.828295
5.0,326,2604.99101
9.0,361,2609.969135
4.0,285,2615.513654
9.0,505,2623.938467
3.0,418,2630.614557
5.0,280,2635.029814
10.0,501,2643.369924
3.0,249,2647.523572
1.0,544,2656.124862
3.0,265,2660.469501
3.0,264,2664.813183
1.0,182,2668.65528
1.0,193,2671.31876
1.0,1173,2690.417488
3.0,4945,2777.740567
2.0,27000,3161.506174
5.0,342,3166.729454
3.0,415,3172.90533
5.0,312,3177.149324
5.0,320,3182.678856
8.0,335,3186.85282
7.0,298,3192.313048
3.0,216,3194.625952
4.0,267,3198.556109
11.0,273,3203.460568
2.0,241,3205.837072
5.0,307,3211.19867
3.0,226,3214.975925
5.0,304,3219.207365
4.0,275,3223.285983
3.0,271,3227.251189
7.0,353,3232.812456
5.0,328,3238.146052
2.0,184,3240.37284
2.0,184,3242.542627
1.0,154,3245.658958
7.0,248,3249.499401
2.0,185,3251.658007
3.0,217,3255.324146
1.0,154,3257.213147
3.0,236,3261.038188
3.0,226,3264.454486
11.0,269,3267.936105
3.0,212,3269.907778
7.0,302,3274.497787
3.0,215,3276.598954
3.0,212,3279.916799
6.0,322,3284.941126
7.0,248,3287.211743
5.0,301,3292.300056
7.0,352,3297.824046
4.0,269,3301.639261
4.0,266,3305.55195
11.0,281,3309.544088
13.0,485,3316.86918
9.0,340,3321.033481
4.0,333,3326.359451
7.0,252,3330.032702
7.0,255,3333.915161
7.0,248,3337.469484
9.0,331,3342.756298
7.0,256,3346.303973
3.0,214,3348.727599
11.0,277,3352.352837
6.0,325,3357.616839
2.0,182,3359.703429
7.0,366,3364.966527
3.0,214,3368.361444
1.0,151,3370.253212
3.0,229,3373.986274
1.0,158,3375.900596
9.0,339,3381.098639
3.0,220,3383.44651
12.0,283,3388.241461
11.0,276,3392.012857
3.0,233,3395.814788
8.0,298,3399.775263
11.0,268,3403.518324
3.0,214,3407.008212
3.0,213,3409.397223
2.0,185,3412.615437
7.0,264,3416.536604
2.0,182,3418.609635
7.0,270,3422.308763
7.0,282,3427.161509
5.0,299,3431.00639
9.0,330,3437.040159
7.0,265,3440.934464
7.0,255,3444.985166
5.0,298,3448.960479
3.0,215,3452.375007
3.0,214,3454.630785
7.0,249,3458.135262
5.0,291,3462.125106
8.0,297,3466.978676
7.0,247,3470.504045
4.0,267,3474.08975
5.0,291,3478.000329
9.0,343,3483.035414
5.0,315,3487.48337
7.0,267,3491.39207
7.0,258,3495.282823
5.0,307,3500.992007
11.0,279,3505.02726
2.0,184,3506.91934
11.0,269,3510.635613
7.0,261,3514.234598
2.0,181,3517.815897
7.0,251,3522.121522
8.0,327,3526.884397
4.0,262,3530.634192
5.0,301,3535.719856
6.0,341,3539.931697
5.0,306,3545.124923
3.0,218,3548.575285
2.0,498,3554.555263
3.0,214,3557.987123
2.0,183,3561.830853
7.0,282,3566.350935
9.0,326,3570.484921
4.0,287,3575.520085
3.0,234,3577.449993
12.0,343,3581.994944
6.0,341,3586.521916
3.0,216,3588.488634
4.0,259,3591.558064
2.0,268,3595.727145
7.0,249,3597.718984
7.0,248,3600.970737
11.0,313,3605.45484
8.0,295,3608.665365
7.0,248,3611.881658
7.0,250,3615.545527
4.0,311,3619.32934
7.0,395,3625.173441
8.0,278,3628.506583
6.0,336,3632.494691
5.0,290,3638.045763
5.0,311,3642.463948
5.0,307,3646.743245
7.0,248,3650.742042
3.0,214,3653.86551
6.0,342,3658.612236
7.0,387,3663.679849
6.0,422,3668.608171
4.0,266,3671.816221
6.0,358,3676.492771
3.0,214,3679.795521
5.0,306,3683.68872
4.0,300,3686.974056
3.0,230,3690.060581
5.0,291,3693.541227
6.0,340,3698.236913
7.0,247,3701.68982
8.0,300,3704.936513
7.0,248,3708.11022
4.0,264,3711.219816
6.0,343,3715.80449
9.0,325,3720.217816
7.0,433,3725.1486
11.0,354,3729.664482
8.0,298,3732.759361
13.0,374,3737.387929
4.0,264,3740.452681
12.0,456,3746.410108
12.0,289,3749.590086
13.0,352,3754.047081
5.0,330,3757.536496
10.0,374,3762.558694
6.0,343,3766.789279
12.0,445,3771.618687
7.0,391,3776.080112
10.0,359,3780.41822
8.0,600,3788.08993
7.0,425,3792.744304
9.0,1107,3806.462095
8.0,304,3809.709007
9.0,336,3814.121975
10.0,387,3819.262409
7.0,260,3822.457321
4.0,279,3825.886471
6.0,448,3830.85274
8.0,279,3834.988361
9.0,327,3838.443149
10.0,370,3843.006503
7.0,11326,3985.286259
8.0,382,3989.854219
4.0,264,3993.068077
8.0,286,3996.360693
6.0,338,4001.044357
7.0,274,4004.465605
7.0,375,4008.935496
4.0,276,4012.32484
3.0,213,4014.169621
5.0,289,4018.407983
4.0,265,4021.941122
2.0,201,4024.127626
7.0,249,4027.188517
5.0,291,4031.196526
6.0,341,4034.558221
8.0,276,4037.805282
8.0,429,4043.558897
4.0,306,4046.825558
9.0,353,4051.225276
4.0,252,4054.642964
10.0,493,4060.780477
4.0,281,4063.999505
7.0,254,4067.37663
4.0,280,4070.501085
5.0,299,4074.130628
6.0,364,4078.807518
7.0,392,4083.666946
4.0,681,4092.856115
5.0,347,4096.380375
4.0,328,4100.98365
2.0,285,4104.334535
13.0,579,4112.139436
5.0,317,4115.587081
2.0,190,4118.551539
3.0,234,4120.487134
4.0,282,4124.722931
2.0,190,4126.401692
4.0,260,4129.415074
8.0,423,4133.880041
