#{"t_start": 1744465456.1177409, "env_id": "LunarLander-v2"}
r,l,t
0.0,56,78.182065
0.0,66,78.33195
0.0,110,78.6278
0.0,74,81.558785
0.0,94,81.719458
0.0,125,81.980229
0.0,82,82.234808
0.0,99,82.436328
0.0,92,82.618554
0.0,94,82.786592
0.0,116,83.059914
0.0,106,83.313427
0.0,117,83.603982
0.0,62,83.770426
0.0,65,83.915461
0.0,66,84.066658
0.0,88,84.282009
0.0,94,84.506166
0.0,77,84.696457
0.0,88,84.892902
0.0,113,85.121014
0.0,97,85.38136
0.0,82,85.605761
0.0,100,85.896366
0.0,69,86.121264
0.0,96,89.111724
0.0,93,89.381423
0.0,68,89.554208
0.0,85,89.747679
0.0,109,90.016383
0.0,103,90.291874
0.0,88,90.510256
0.0,107,90.779925
0.0,68,90.936048
0.0,84,91.126391
0.0,107,91.401279
0.0,98,91.624053
0.0,113,91.865053
0.0,70,92.016026
0.0,109,92.25813
0.0,79,92.4297
0.0,77,92.601068
0.0,81,92.77712
0.0,86,92.957471
0.0,65,93.087982
0.0,94,93.356525
0.0,75,93.54836
0.0,80,93.752954
0.0,65,93.921787
0.0,74,96.228424
0.0,108,96.45583
0.0,94,96.661235
0.0,76,96.824326
0.0,65,96.964649
0.0,98,97.196671
0.0,73,97.354585
0.0,108,97.612728
0.0,78,97.802579
0.0,81,97.989245
0.0,91,98.204904
0.0,122,98.453146
0.0,117,98.697469
0.0,112,98.954951
0.0,91,99.168176
0.0,88,99.394682
0.0,103,99.617303
0.0,102,99.833592
0.0,97,100.057379
0.0,63,100.180492
0.0,74,100.374713
0.0,91,100.583143
0.0,90,103.081106
0.0,113,103.289956
0.0,90,103.494572
0.0,87,103.691686
0.0,69,103.943169
0.0,93,104.22102
0.0,91,104.418864
0.0,84,104.619049
0.0,90,104.828903
0.0,58,104.981432
0.0,88,105.196988
0.0,104,105.514112
0.0,77,105.714284
0.0,100,105.960141
0.0,93,106.208631
0.0,94,106.450165
0.0,89,106.664567
0.0,115,106.950839
0.0,85,107.144473
0.0,94,107.384116
0.0,60,107.543407
0.0,108,107.829059
0.0,67,107.998133
0.0,94,110.563438
0.0,98,110.788061
0.0,101,110.983187
0.0,102,111.170906
0.0,107,111.367801
0.0,79,111.534906
0.0,103,111.757889
0.0,90,111.991925
0.0,81,112.174868
0.0,84,112.361723
0.0,73,112.530168
0.0,66,112.673719
0.0,81,112.838018
0.0,75,112.99885
0.0,100,113.218318
0.0,78,113.388799
0.0,76,113.553337
0.0,89,113.754819
0.0,105,114.000259
0.0,68,114.181868
0.0,107,114.433887
0.0,69,114.582788
0.0,74,114.75809
0.0,66,114.911873
0.0,75,117.511526
0.0,115,117.805234
0.0,113,118.070565
0.0,98,118.25262
0.0,90,118.411237
0.0,91,118.598409
0.0,82,118.76022
0.0,74,118.914155
0.0,97,119.130821
0.0,80,119.313027
0.0,118,119.589694
0.0,97,119.813266
0.0,67,119.966619
0.0,109,120.213276
0.0,108,120.483511
0.0,76,120.679638
0.0,108,120.944238
0.0,86,121.127916
0.0,113,121.37638
0.0,96,121.582353
0.0,74,121.752204
0.0,104,122.010475
0.0,110,124.541312
0.0,92,124.752083
0.0,63,124.908683
0.0,84,125.118058
0.0,85,125.3844
0.0,102,125.635001
0.0,74,125.808863
0.0,113,126.059659
0.0,91,126.257869
0.0,83,126.428364
0.0,98,126.652121
0.0,94,126.824316
0.0,111,127.039857
0.0,103,127.262449
0.0,81,127.547413
0.0,74,127.735389
0.0,110,127.974228
0.0,74,128.175875
0.0,81,128.344811
0.0,96,128.555446
0.0,81,128.803108
0.0,91,129.026104
0.0,81,129.216861
0.0,62,131.616673
0.0,95,131.832982
0.0,79,132.021
0.0,83,132.218204
0.0,95,132.41906
0.0,107,132.658499
0.0,93,132.859673
0.0,99,133.086737
0.0,109,133.41295
0.0,91,133.700209
0.0,78,133.853595
0.0,97,134.071079
0.0,121,134.328819
0.0,73,134.476798
0.0,95,134.674191
0.0,96,134.861712
0.0,75,135.021277
0.0,97,135.217959
0.0,74,135.353621
0.0,102,135.564718
0.0,89,135.767535
0.0,102,135.987105
0.0,97,138.527997
0.0,65,138.680751
0.0,87,138.981905
0.0,85,139.199731
0.0,104,139.470033
0.0,79,139.66876
0.0,100,139.8948
0.0,99,140.147769
0.0,82,140.336134
0.0,82,140.544927
0.0,111,140.826544
0.0,76,141.002338
0.0,110,141.316745
0.0,87,141.551718
0.0,73,141.732296
0.0,100,141.955024
0.0,66,142.114608
0.0,123,142.376511
0.0,78,142.524046
0.0,72,142.669225
0.0,107,142.872885
0.0,87,143.048863
0.0,69,143.170642
0.0,67,143.292969
0.0,86,145.742128
0.0,124,146.006761
0.0,90,146.235834
0.0,102,146.473266
0.0,76,146.654486
0.0,81,146.814274
0.0,90,147.015
0.0,117,147.269727
0.0,108,147.517116
0.0,96,147.745028
0.0,104,147.999716
0.0,136,148.306024
0.0,96,148.51667
0.0,111,148.774293
0.0,101,148.994695
0.0,117,149.38285
0.0,75,149.689388
0.0,77,149.921109
0.0,85,150.109626
0.0,75,150.275717
0.0,81,150.420797
0.0,94,152.811768
0.0,112,153.053828
0.0,77,153.224003
0.0,78,153.394754
0.0,118,153.647921
0.0,76,153.825076
0.0,82,154.031572
0.0,118,154.312702
0.0,77,154.478412
0.0,112,154.726542
0.0,81,154.90791
0.0,104,155.173305
0.0,79,155.363834
0.0,80,155.550838
0.0,82,155.739144
0.0,110,155.987358
0.0,104,156.226587
0.0,86,156.421684
0.0,109,156.674648
0.0,88,156.85559
0.0,100,157.07752
0.0,109,159.58784
0.0,115,159.836549
0.0,109,160.125518
0.0,89,160.34702
0.0,90,160.545924
0.0,72,160.714522
0.0,130,161.014113
0.0,85,161.206065
0.0,113,161.444044
0.0,87,161.638603
0.0,110,161.8646
0.0,73,162.037587
0.0,90,162.233813
0.0,94,162.437988
0.0,83,162.621291
0.0,92,162.821424
0.0,71,162.968755
0.0,117,163.2209
0.0,116,163.470601
0.0,77,163.661256
0.0,101,163.896228
0.0,103,164.112234
0.0,92,166.722257
0.0,98,166.880124
0.0,91,167.062913
0.0,91,167.224034
0.0,133,167.460152
0.0,98,167.676402
0.0,116,167.946022
0.0,69,168.09492
0.0,117,168.343735
0.0,109,168.576253
0.0,137,168.98706
0.0,142,169.361114
0.0,69,169.524993
0.0,76,169.686632
0.0,82,169.86738
0.0,117,170.16713
0.0,100,170.459466
0.0,82,170.672959
0.0,81,170.890137
0.0,74,171.06426
0.0,101,173.483051
0.0,130,173.807364
0.0,108,174.181693
0.0,96,174.436996
0.0,107,174.790061
0.0,75,174.974663
0.0,90,175.206669
0.0,95,175.408726
0.0,94,175.644144
0.0,126,175.916251
0.0,85,176.149614
0.0,141,176.557648
0.0,79,176.713461
0.0,135,176.959122
0.0,93,177.137476
0.0,145,177.408437
0.0,107,177.740685
0.0,73,177.935472
0.0,91,178.156683
0.0,76,178.336504
0.0,89,178.508304
0.0,88,180.800373
0.0,113,180.990887
0.0,68,181.153321
0.0,117,181.468112
0.0,129,181.767853
0.0,131,182.129449
0.0,105,182.38779
0.0,79,182.560084
0.0,73,182.745397
0.0,72,182.944077
0.0,88,183.221172
0.0,74,183.396939
0.0,137,183.651249
0.0,97,183.831828
0.0,82,183.975941
0.0,102,184.164887
0.0,122,184.364208
0.0,91,184.525146
0.0,79,184.674162
0.0,140,184.998384
0.0,95,187.368671
0.0,118,187.605984
0.0,113,187.825439
0.0,85,187.999661
0.0,75,188.160779
0.0,111,188.38693
0.0,118,188.612238
0.0,72,188.756921
0.0,94,188.951614
0.0,95,189.144281
0.0,140,189.491367
0.0,98,189.738836
0.0,110,190.015485
0.0,82,190.185463
0.0,93,190.353014
0.0,83,190.494897
0.0,103,190.841144
0.0,110,191.170679
0.0,88,191.373819
0.0,92,191.52538
0.0,90,191.673139
0.0,91,193.729559
0.0,123,193.980873
0.0,114,194.186799
0.0,95,194.380126
0.0,69,194.514886
0.0,79,194.671693
0.0,90,194.834527
0.0,134,195.113148
0.0,78,195.279646
0.0,69,195.426797
0.0,123,195.656749
0.0,70,195.800481
0.0,97,195.988431
0.0,94,196.175705
0.0,67,196.29119
0.0,121,196.543598
0.0,84,196.716644
0.0,124,196.982228
0.0,83,197.151876
0.0,91,197.408098
0.0,94,197.670489
0.0,82,197.875484
0.0,87,200.100358
0.0,81,200.306533
0.0,140,200.572162
0.0,79,200.74415
0.0,82,200.956467
0.0,75,201.116549
0.0,107,201.31966
0.0,111,201.583968
0.0,107,201.810204
0.0,90,202.000873
0.0,110,202.23592
0.0,80,202.422807
0.0,93,202.6297
0.0,99,202.827509
0.0,88,203.031404
0.0,100,203.275704
0.0,91,203.476753
0.0,91,203.696431
0.0,94,203.905221
0.0,75,204.05284
0.0,91,204.238354
0.0,82,204.404901
0.0,69,207.117682
0.0,86,207.283253
0.0,110,207.494645
0.0,85,207.664691
0.0,96,207.845016
0.0,95,208.043933
0.0,118,208.27095
0.0,102,208.47227
0.0,128,208.72323
0.0,73,208.881262
0.0,92,209.075743
0.0,82,209.246072
0.0,123,209.496305
0.0,68,209.635062
0.0,119,209.88941
0.0,69,210.044215
0.0,110,210.274624
0.0,86,210.451268
0.0,122,210.708213
0.0,86,210.899299
0.0,81,211.097972
0.0,85,213.439223
0.0,65,213.61659
0.0,120,213.982084
