#{"t_start": 1744427491.0343585, "env_id": "LunarLander-v2"}
r,l,t
-36.526524,140,79.081474
-101.977359,177,79.401922
-144.684845,170,79.694214
-45.517531,129,79.926008
-263.745341,208,80.283133
-38.818913,177,82.331393
-51.681729,232,82.723934
-257.898318,224,83.089918
-226.311026,342,83.638777
31.453427,199,83.993882
-235.775733,200,84.357465
-329.856845,270,84.809728
-8.944886,211,85.169711
7.388573,142,85.429398
-230.3757,188,87.488541
-62.679621,154,87.741798
0.94128,210,88.123535
-217.569409,102,88.294637
-155.025898,136,88.530423
-8.968181,248,88.959401
-30.542175,127,89.182729
-47.556549,92,89.333927
-310.477321,173,89.670857
-97.012154,168,89.975044
-18.732472,198,90.326143
-74.04436,121,90.540568
-62.571252,82,90.677418
-28.006485,191,92.795096
-51.229232,96,92.954605
-183.615075,145,93.204836
-6.956647,152,93.460285
-107.357009,142,93.738697
-18.857303,95,93.899745
-52.542374,120,94.098433
-51.893461,157,94.362891
-52.144194,185,94.698437
-26.957941,142,94.958711
-63.68653,193,95.313457
-90.193942,166,95.600321
-100.91432,152,95.853044
-13.130099,134,96.084124
33.54212,123,96.311749
8.775674,151,98.442734
7.034684,167,98.731152
-283.344301,177,99.034251
-46.817831,209,99.411892
-73.652853,134,99.67938
-122.051064,195,100.06761
-34.608132,146,100.31723
-192.398601,193,100.676695
-12.779994,146,100.952054
-25.024161,133,101.208142
-93.579966,104,101.399549
-19.34786,202,101.785392
-214.196219,182,104.004108
-31.749325,121,104.208363
8.707378,106,104.386785
-21.790502,177,104.713846
-96.925999,148,105.024364
32.153365,153,105.303026
-14.434868,164,105.604975
-16.245164,142,105.861737
14.634385,152,106.174462
-81.879326,161,106.473064
-2.651608,159,106.771032
18.099635,128,107.002704
46.414941,1000,110.799087
-9.004677,154,111.085876
-63.944955,259,111.544548
41.96922,173,111.885566
22.306897,1000,115.733124
-44.480647,120,115.976149
-15.808896,227,116.391512
83.714827,1000,118.221312
32.178223,185,118.564686
-113.786826,149,118.853054
-217.143484,196,119.242859
-24.558537,1000,123.097193
-232.289903,188,123.446923
-78.057527,187,123.813478
-48.8029,321,124.458494
-268.649425,237,124.921282
-21.469872,269,127.346789
-46.824994,234,127.749586
-21.622781,148,128.016889
-68.091189,266,128.483529
-225.749015,196,128.829993
115.259403,1000,130.726408
-152.556447,283,132.986538
-58.930827,156,133.245881
-89.438241,438,133.986598
-44.589495,375,134.659714
-4.004032,231,135.136346
-169.66046,338,135.858059
-115.50333,292,138.519802
-79.43544,195,138.90279
-88.431246,196,139.278415
-122.035108,228,139.726264
51.951235,1000,141.734127
-202.05397,203,142.122917
-124.401644,213,142.534486
-123.094719,264,144.987965
114.473637,1000,146.939092
-15.467297,336,147.579696
-21.591465,328,148.190633
102.801804,1000,151.921309
60.538408,1000,153.68013
-74.451844,335,156.066618
-54.133107,217,156.466356
30.225713,175,156.781576
-33.527188,282,157.292888
63.20421,1000,159.060845
-42.735851,295,161.514395
-146.946431,330,162.153869
